Year,Country ,Country Code,Medal Type,Medals
1924,Czech Republic,CZE,Silver,4
1956,Czech Republic,CZE,Silver,4
1968,Czech Republic,CZE,Silver,4
1972,Czech Republic,CZE,Silver,4
1988,Czech Republic,CZE,Silver,4
2014,Czech Republic,CZE,Silver,4
1906,Germany,DEU,Bronze,4
1900,Germany,DEU,Gold,4
1904,Germany,DEU,Gold,4
1906,Germany,DEU,Gold,4
1996,Djibouti,DJI,No Medal,4
2012,Djibouti,DJI,No Medal,4
2000,Dominica,DMA,No Medal,4
1928,Denmark,DNK,Bronze,4
1992,Denmark,DNK,Bronze,4
1996,Denmark,DNK,Gold,4
1968,Denmark,DNK,Silver,4
2012,Denmark,DNK,Silver,4
1972,Dominican Republic,DOM,No Medal,4
1924,Ecuador,ECU,No Medal,4
1972,Ecuador,ECU,No Medal,4
2012,Spain,ESP,Bronze,4
2016,Spain,ESP,Silver,4
1924,Estonia,EST,Bronze,4
2000,Ethiopia,ETH,Gold,4
2008,Ethiopia,ETH,Gold,4
1988,Finland,FIN,Bronze,4
2010,Finland,FIN,Bronze,4
1980,Finland,FIN,Gold,4
1992,Finland,FIN,Gold,4
2002,Finland,FIN,Gold,4
1956,Finland,FIN,Silver,4
1960,Finland,FIN,Silver,4
1964,Finland,FIN,Silver,4
1968,Finland,FIN,Silver,4
1998,Finland,FIN,Silver,4
1956,Fiji,FJI,No Medal,4
1972,Fiji,FJI,No Medal,4
1932,France,FRA,Bronze,4
1980,France,FRA,Bronze,4
1994,France,FRA,Bronze,4
2006,France,FRA,Bronze,4
1956,France,FRA,Gold,4
1964,France,FRA,Gold,4
2002,France,FRA,Gold,4
2014,France,FRA,Gold,4
1896,France,FRA,Silver,4
1956,France,FRA,Silver,4
1988,France,FRA,Silver,4
2014,France,FRA,Silver,4
1984,Gabon,GAB,No Medal,4
2008,Gabon,GAB,No Medal,4
1936,UK,GBR,Bronze,4
1928,UK,GBR,Gold,4
1948,UK,GBR,Gold,4
1972,UK,GBR,Gold,4
1976,UK,GBR,Gold,4
2016,Georgia,GEO,Bronze,4
2006,Georgia,GEO,No Medal,4
2004,Guinea,GIN,No Medal,4
2012,Guinea,GIN,No Medal,4
2016,Gambia,GMB,No Medal,4
2012,Guinea-Bissau,GNB,No Medal,4
2000,Equatorial Guinea,GNQ,No Medal,4
2004,Greece,GRC,Bronze,4
1996,Greece,GRC,Gold,4
2000,Greece,GRC,Gold,4
1996,Greece,GRC,Silver,4
2016,Grenada,GRD,No Medal,4
2004,Guam,GUM,No Medal,4
1972,Guyana,GUY,No Medal,4
2000,Guyana,GUY,No Medal,4
2004,Guyana,GUY,No Medal,4
2008,Guyana,GUY,No Medal,4
1968,Honduras,HND,No Medal,4
2000,Honduras,HND,No Medal,4
1924,Hungary,HUN,Bronze,4
2016,Hungary,HUN,Bronze,4
1976,Hungary,HUN,Gold,4
1908,Hungary,HUN,Silver,4
1924,Hungary,HUN,Silver,4
1996,Hungary,HUN,Silver,4
2012,Hungary,HUN,Silver,4
2012,India,IND,Bronze,4
1998,Ireland,IRL,No Medal,4
1952,Iran,IRN,Bronze,4
2016,Iran,IRN,Bronze,4
2012,Iran,IRN,Gold,4
1948,Iraq,IRQ,No Medal,4
1968,Iraq,IRQ,No Medal,4
2000,Iraq,IRQ,No Medal,4
2002,Israel,ISR,No Medal,4
1980,Italy,ITA,Bronze,4
2002,Italy,ITA,Gold,4
1968,Italy,ITA,Silver,4
2002,Italy,ITA,Silver,4
2012,Jamaica,JAM,Bronze,4
2012,Jamaica,JAM,Gold,4
2012,Jamaica,JAM,Silver,4
1932,Japan,JPN,Bronze,4
1998,Japan,JPN,Bronze,4
1956,Japan,JPN,Gold,4
1960,Japan,JPN,Gold,4
1988,Japan,JPN,Gold,4
1992,Japan,JPN,Gold,4
1912,Japan,JPN,No Medal,4
1936,Japan,JPN,Silver,4
2014,Japan,JPN,Silver,4
1996,Kazakhstan,KAZ,Bronze,4
1996,Kazakhstan,KAZ,Silver,4
2000,Kazakhstan,KAZ,Silver,4
2004,Kazakhstan,KAZ,Silver,4
2008,Kazakhstan,KAZ,Silver,4
1972,Kenya,KEN,Bronze,4
1968,Kenya,KEN,Silver,4
1992,Kenya,KEN,Silver,4
1996,Kenya,KEN,Silver,4
2004,Kenya,KEN,Silver,4
2008,Kenya,KEN,Silver,4
2012,Kenya,KEN,Silver,4
2002,Kyrgyzstan,KGZ,No Medal,4
2000,Cambodia,KHM,No Medal,4
2004,Cambodia,KHM,No Medal,4
2008,Cambodia,KHM,No Medal,4
1976,South Korea,KOR,Bronze,4
1994,South Korea,KOR,Gold,4
1972,Kuwait,KWT,No Medal,4
1956,Lebanon,LBN,No Medal,4
2008,Liberia,LBR,No Medal,4
2012,Libya,LBY,No Medal,4
2008,Saint Lucia,LCA,No Medal,4
2012,Saint Lucia,LCA,No Medal,4
2016,Saint Lucia,LCA,No Medal,4
1956,Liechtenstein,LIE,No Medal,4
2010,Liechtenstein,LIE,No Medal,4
2012,Liechtenstein,LIE,No Medal,4
1984,Lesotho,LSO,No Medal,4
2012,Lesotho,LSO,No Medal,4
1980,Luxembourg,LUX,No Medal,4
1984,Luxembourg,LUX,No Medal,4
2004,Latvia,LVA,Silver,4
2000,Morocco,MAR,Bronze,4
2014,Morocco,MAR,No Medal,4
1972,Monaco,MCO,No Medal,4
1996,Monaco,MCO,No Medal,4
2000,Monaco,MCO,No Medal,4
1994,Moldova,MDA,No Medal,4
1998,Moldova,MDA,No Medal,4
1964,Madagascar,MDG,No Medal,4
2000,Maldives,MDV,No Medal,4
2004,Maldives,MDV,No Medal,4
2008,Maldives,MDV,No Medal,4
2016,Maldives,MDV,No Medal,4
2012,Marshall Islands,MHL,No Medal,4
1996,Mali,MLI,No Medal,4
2002,Mongolia,MNG,No Medal,4
2004,Mozambique,MOZ,No Medal,4
2008,Mozambique,MOZ,No Medal,4
1996,Mauritania,MRT,No Medal,4
1992,Malawi,MWI,No Medal,4
2004,Malawi,MWI,No Medal,4
2008,Malawi,MWI,No Medal,4
2016,Malaysia,MYS,Silver,4
1984,Niger,NER,No Medal,4
1988,Niger,NER,No Medal,4
2000,Niger,NER,No Medal,4
2004,Niger,NER,No Medal,4
2008,Niger,NER,No Medal,4
1900,Netherlands,NLD,Bronze,4
1964,Netherlands,NLD,Bronze,4
1968,Netherlands,NLD,Bronze,4
2000,Netherlands,NLD,Bronze,4
2006,Netherlands,NLD,Bronze,4
2008,Netherlands,NLD,Bronze,4
2016,Netherlands,NLD,Bronze,4
1920,Netherlands,NLD,Gold,4
1924,Netherlands,NLD,Gold,4
1996,Netherlands,NLD,Gold,4
2004,Netherlands,NLD,Gold,4
2010,Netherlands,NLD,Gold,4
1936,Netherlands,NLD,Silver,4
1972,Netherlands,NLD,Silver,4
1976,Netherlands,NLD,Silver,4
1988,Netherlands,NLD,Silver,4
1998,Netherlands,NLD,Silver,4
2016,Norway,NOR,Bronze,4
1912,Norway,NOR,Gold,4
1960,Norway,NOR,Gold,4
1972,Norway,NOR,Gold,4
1976,Norway,NOR,Gold,4
2000,Norway,NOR,Gold,4
1904,Norway,NOR,No Medal,4
1932,Norway,NOR,Silver,4
1976,Norway,NOR,Silver,4
2008,New Zealand,NZL,Bronze,4
2016,New Zealand,NZL,Gold,4
2008,Oman,OMN,No Medal,4
2016,Oman,OMN,No Medal,4
1960,Panama,PAN,No Medal,4
2008,Panama,PAN,No Medal,4
2004,Palau,PLW,No Medal,4
1928,Poland,POL,Bronze,4
1932,Poland,POL,Bronze,4
1960,Poland,POL,Gold,4
2014,Poland,POL,Gold,4
1936,Poland,POL,Silver,4
1956,Poland,POL,Silver,4
1992,North Korea,PRK,Gold,4
2012,North Korea,PRK,Gold,4
2004,North Korea,PRK,Silver,4
1932,Portugal,PRT,No Medal,4
1994,Portugal,PRT,No Medal,4
2014,Portugal,PRT,No Medal,4
1968,Romania,ROU,Gold,4
1976,Romania,ROU,Gold,4
1992,Romania,ROU,Gold,4
1996,Romania,ROU,Gold,4
2008,Romania,ROU,Gold,4
1964,Romania,ROU,Silver,4
1994,Russia,RUS,Bronze,4
2002,Russia,RUS,Bronze,4
1908,Russia,RUS,No Medal,4
2002,Russia,RUS,Silver,4
1996,Rwanda,RWA,No Medal,4
2008,Rwanda,RWA,No Medal,4
1996,Sudan,SDN,No Medal,4
2004,Sudan,SDN,No Medal,4
1976,Singapore,SGP,No Medal,4
1996,Solomon Islands,SLB,No Medal,4
2012,Solomon Islands,SLB,No Medal,4
1968,Sierra Leone,SLE,No Medal,4
2016,Sierra Leone,SLE,No Medal,4
1972,San Marino,SMR,No Medal,4
2000,San Marino,SMR,No Medal,4
2008,San Marino,SMR,No Medal,4
2012,San Marino,SMR,No Medal,4
1972,Somalia,SOM,No Medal,4
1988,Somalia,SOM,No Medal,4
1996,Somalia,SOM,No Medal,4
1980,Serbia,SRB,Bronze,4
2016,Serbia,SRB,Silver,4
2008,Sao Tome and Principe,STP,No Medal,4
1976,Suriname,SUR,No Medal,4
2004,Suriname,SUR,No Medal,4
2008,Suriname,SUR,No Medal,4
2014,Slovenia,SVN,Bronze,4
1968,Sweden,SWE,Bronze,4
2010,Sweden,SWE,Bronze,4
1960,Sweden,SWE,Gold,4
1976,Sweden,SWE,Gold,4
1988,Sweden,SWE,Gold,4
2000,Sweden,SWE,Gold,4
2004,Sweden,SWE,Gold,4
1960,Sweden,SWE,Silver,4
1988,Sweden,SWE,Silver,4
1996,Sweden,SWE,Silver,4
2008,Sweden,SWE,Silver,4
2012,Sweden,SWE,Silver,4
1972,Syria,SYR,No Medal,4
1972,Chad,TCD,No Medal,4
1996,Chad,TCD,No Medal,4
1996,Togo,TGO,No Medal,4
2004,Thailand,THA,Bronze,4
2000,Tajikistan,TJK,No Medal,4
2010,Tajikistan,TJK,No Medal,4
1996,Tonga,TON,No Medal,4
2016,Turkey,TUR,Bronze,4
1996,Turkey,TUR,Gold,4
1948,Turkey,TUR,Silver,4
1964,Tanzania,TZA,No Medal,4
2016,Ukraine,UKR,Bronze,4
1998,USA,USA,Bronze,4
1980,USA,USA,Silver,4
2016,Uzbekistan,UZB,Gold,4
1998,Uzbekistan,UZB,No Medal,4
2000,Saint Vincent,VCT,No Medal,4
2016,Saint Vincent,VCT,No Medal,4
1988,"Virgin Islands, British",VGB,No Medal,4
2016,"Virgin Islands, British",VGB,No Medal,4
1994,"Virgin Islands, US",VIR,No Medal,4
1956,Vietnam,VNM,No Medal,4
1996,Vanuatu,VUT,No Medal,4
2016,Vanuatu,VUT,No Medal,4
1996,Yemen,YEM,No Medal,4
2012,Yemen,YEM,No Medal,4
1952,South Africa,ZAF,Bronze,4
1956,South Africa,ZAF,Bronze,4
1912,South Africa,ZAF,Gold,4
2002,South Africa,ZAF,No Medal,4
1920,South Africa,ZAF,Silver,4
1952,South Africa,ZAF,Silver,4
2000,Aruba,ABW,No Medal,5
1968,Afghanistan,AFG,No Medal,5
1988,Afghanistan,AFG,No Medal,5
2004,Afghanistan,AFG,No Medal,5
2012,Afghanistan,AFG,No Medal,5
2004,Angola,AGO,No Medal,5
2000,Albania,ALB,No Medal,5
1976,Andorra,AND,No Medal,5
1998,Andorra,AND,No Medal,5
2000,Andorra,AND,No Medal,5
2008,Andorra,AND,No Medal,5
2000,United Arab Emirates,ARE,No Medal,5
1998,Armenia,ARM,No Medal,5
2006,Armenia,ARM,No Medal,5
2014,Armenia,ARM,No Medal,5
2004,Antigua,ATG,No Medal,5
2008,Antigua,ATG,No Medal,5
2016,Antigua,ATG,No Medal,5
1948,Australia,AUS,Bronze,5
1968,Australia,AUS,Bronze,5
1980,Australia,AUS,Bronze,5
1988,Australia,AUS,Bronze,5
1968,Australia,AUS,Gold,5
2014,Austria,AUT,Bronze,5
1948,Austria,AUT,Silver,5
1952,Austria,AUT,Silver,5
1964,Austria,AUT,Silver,5
1988,Austria,AUT,Silver,5
1998,Austria,AUT,Silver,5
1996,Burundi,BDI,No Medal,5
2000,Burundi,BDI,No Medal,5
2004,Burundi,BDI,No Medal,5
1900,Belgium,BEL,Bronze,5
1908,Belgium,BEL,Silver,5
2008,Benin,BEN,No Medal,5
2012,Benin,BEN,No Medal,5
1996,Burkina Faso,BFA,No Medal,5
2004,Burkina Faso,BFA,No Medal,5
2012,Burkina Faso,BFA,No Medal,5
2016,Burkina Faso,BFA,No Medal,5
2008,Bangladesh,BGD,No Medal,5
1972,Bulgaria,BGR,Bronze,5
1996,Bulgaria,BGR,Bronze,5
2000,Bulgaria,BGR,Gold,5
1928,Bulgaria,BGR,No Medal,5
1948,Bulgaria,BGR,No Medal,5
1964,Bulgaria,BGR,Silver,5
1964,Bahamas,BHS,No Medal,5
2012,Belarus,BLR,Bronze,5
2014,Belarus,BLR,Gold,5
2004,Belarus,BLR,Silver,5
2008,Belarus,BLR,Silver,5
2012,Belarus,BLR,Silver,5
1996,Belize,BLZ,No Medal,5
1976,Boliva,BOL,No Medal,5
2000,Boliva,BOL,No Medal,5
2012,Boliva,BOL,No Medal,5
2004,Brazil,BRA,Gold,5
1984,Brazil,BRA,Silver,5
2012,Brazil,BRA,Silver,5
2000,Botswana,BWA,No Medal,5
1996,Central African Republic,CAF,No Medal,5
1936,Canada,CAN,Bronze,5
1956,Canada,CAN,Bronze,5
2010,Canada,CAN,Bronze,5
2014,Canada,CAN,Bronze,5
1928,Canada,CAN,Gold,5
1998,Canada,CAN,Silver,5
2012,Canada,CAN,Silver,5
1996,Swaziland,CHE,No Medal,5
2006,China,CHN,Bronze,5
1988,China,CHN,Gold,5
2010,China,CHN,Gold,5
2008,Democratic Republic of the Congo,COD,No Medal,5
2008,Democratic Republic of the Congo,COG,No Medal,5
1936,Colombia,COL,No Medal,5
2016,Cape Verde,CPV,No Medal,5
1980,Cuba,CUB,Bronze,5
2012,Cuba,CUB,Gold,5
2016,Cuba,CUB,Gold,5
1988,Curacao,CUW,No Medal,5
1992,Curacao,CUW,No Medal,5
2012,Cayman Islands,CYM,No Medal,5
2016,Cayman Islands,CYM,No Medal,5
1924,Czech Republic,CZE,Bronze,5
1968,Czech Republic,CZE,Bronze,5
2004,Czech Republic,CZE,Bronze,5
1964,Czech Republic,CZE,Gold,5
1928,Czech Republic,CZE,Silver,5
1936,Czech Republic,CZE,Silver,5
1908,Germany,DEU,Bronze,5
2014,Germany,DEU,Bronze,5
1932,Germany,DEU,Gold,5
1896,Germany,DEU,Silver,5
1904,Germany,DEU,Silver,5
1908,Germany,DEU,Silver,5
1988,Djibouti,DJI,No Medal,5
1912,Denmark,DNK,Bronze,5
2004,Denmark,DNK,Bronze,5
1948,Denmark,DNK,Gold,5
1932,Denmark,DNK,Silver,5
1972,Algeria,DZA,No Medal,5
1906,Egypt,EGY,No Medal,5
2000,Spain,ESP,Bronze,5
1996,Spain,ESP,Gold,5
2008,Spain,ESP,Gold,5
2016,Ethiopia,ETH,Bronze,5
1964,Finland,FIN,Bronze,5
1972,Finland,FIN,Bronze,5
1992,Finland,FIN,Bronze,5
1994,Finland,FIN,Bronze,5
1988,Finland,FIN,Gold,5
1972,Finland,FIN,Silver,5
1984,Finland,FIN,Silver,5
1976,Fiji,FJI,No Medal,5
1960,France,FRA,Bronze,5
1976,France,FRA,Bronze,5
1998,France,FRA,Bronze,5
1896,France,FRA,Gold,5
1908,France,FRA,Gold,5
1984,France,FRA,Gold,5
1908,France,FRA,Silver,5
1912,France,FRA,Silver,5
1932,France,FRA,Silver,5
1972,France,FRA,Silver,5
1980,France,FRA,Silver,5
2002,France,FRA,Silver,5
2000,Micronesia,FSM,No Medal,5
2004,Micronesia,FSM,No Medal,5
2008,Micronesia,FSM,No Medal,5
2016,Micronesia,FSM,No Medal,5
1992,Gabon,GAB,No Medal,5
2004,Gabon,GAB,No Medal,5
1906,UK,GBR,Bronze,5
1932,UK,GBR,Bronze,5
1976,UK,GBR,Bronze,5
1932,UK,GBR,Gold,5
1936,UK,GBR,Gold,5
1964,UK,GBR,Gold,5
1968,UK,GBR,Gold,5
1988,UK,GBR,Gold,5
1992,UK,GBR,Gold,5
1968,UK,GBR,Silver,5
1972,UK,GBR,Silver,5
1976,UK,GBR,Silver,5
2014,Georgia,GEO,No Medal,5
1952,Ghana,GHA,No Medal,5
1996,Guinea,GIN,No Medal,5
2008,Guinea,GIN,No Medal,5
2016,Guinea,GIN,No Medal,5
1992,Gambia,GMB,No Medal,5
2016,Guinea-Bissau,GNB,No Medal,5
1984,Equatorial Guinea,GNQ,No Medal,5
1996,Equatorial Guinea,GNQ,No Medal,5
1992,Grenada,GRD,No Medal,5
2004,Grenada,GRD,No Medal,5
2016,Guam,GUM,No Medal,5
2004,Honduras,HND,No Medal,5
2016,Croatia,HRV,Gold,5
1988,Haiti,HTI,No Medal,5
2000,Haiti,HTI,No Medal,5
2012,Haiti,HTI,No Medal,5
1964,Hungary,HUN,Bronze,5
1928,Hungary,HUN,Gold,5
1904,Hungary,HUN,No Medal,5
1906,Hungary,HUN,Silver,5
1928,Hungary,HUN,Silver,5
1932,Hungary,HUN,Silver,5
1976,Hungary,HUN,Silver,5
2008,Hungary,HUN,Silver,5
1968,Indonesia,IDN,No Medal,5
2006,India,IND,No Medal,5
2006,Ireland,IRL,No Medal,5
2010,Iran,IRN,No Medal,5
2014,Iran,IRN,No Medal,5
2012,Iran,IRN,Silver,5
2016,Iraq,IRQ,No Medal,5
1998,Iceland,ISL,No Medal,5
2010,Iceland,ISL,No Medal,5
2014,Israel,ISR,No Medal,5
1920,Italy,ITA,Bronze,5
1924,Italy,ITA,Bronze,5
1936,Italy,ITA,Bronze,5
1952,Italy,ITA,Bronze,5
1976,Italy,ITA,Bronze,5
2002,Italy,ITA,Bronze,5
1912,Italy,ITA,Gold,5
2006,Italy,ITA,Gold,5
1972,Italy,ITA,Silver,5
1980,Italy,ITA,Silver,5
1988,Italy,ITA,Silver,5
1994,Italy,ITA,Silver,5
2008,Jamaica,JAM,Gold,5
1992,Jordan,JOR,No Medal,5
1996,Jordan,JOR,No Medal,5
1996,Japan,JPN,Bronze,5
2000,Japan,JPN,Bronze,5
1998,Japan,JPN,Gold,5
2000,Japan,JPN,Gold,5
1964,Japan,JPN,Silver,5
2012,Kazakhstan,KAZ,Bronze,5
2016,Kazakhstan,KAZ,Silver,5
2008,Kenya,KEN,Bronze,5
2012,Kenya,KEN,Bronze,5
1988,Kenya,KEN,Gold,5
1996,Cambodia,KHM,No Medal,5
1996,South Korea,KOR,Bronze,5
1976,Lebanon,LBN,No Medal,5
2004,Lebanon,LBN,No Medal,5
2010,Lebanon,LBN,No Medal,5
1960,Liberia,LBR,No Medal,5
1972,Liberia,LBR,No Medal,5
1988,Libya,LBY,No Medal,5
1992,Libya,LBY,No Medal,5
1996,Libya,LBY,No Medal,5
1996,Saint Lucia,LCA,No Medal,5
2000,Saint Lucia,LCA,No Medal,5
1948,Liechtenstein,LIE,No Medal,5
2014,Liechtenstein,LIE,No Medal,5
1960,Sri Lanka,LKA,No Medal,5
1984,Sri Lanka,LKA,No Medal,5
1988,Lesotho,LSO,No Medal,5
1996,Lesotho,LSO,No Medal,5
1994,Luxembourg,LUX,No Medal,5
1924,Monaco,MCO,No Medal,5
1936,Monaco,MCO,No Medal,5
2008,Monaco,MCO,No Medal,5
2010,Monaco,MCO,No Medal,5
2014,Moldova,MDA,No Medal,5
1984,Madagascar,MDG,No Medal,5
1988,Maldives,MDV,No Medal,5
2012,Maldives,MDV,No Medal,5
2008,Marshall Islands,MHL,No Medal,5
2016,Marshall Islands,MHL,No Medal,5
1984,Mali,MLI,No Medal,5
2000,Mali,MLI,No Medal,5
1980,Malta,MLT,No Medal,5
2012,Malta,MLT,No Medal,5
1948,Myanmar,MMR,No Medal,5
1952,Myanmar,MMR,No Medal,5
1992,Myanmar,MMR,No Medal,5
2016,Malawi,MWI,No Medal,5
2016,Niger,NER,No Medal,5
1952,Nigeria,NGA,No Medal,5
1984,Nicaragua,NIC,No Medal,5
2016,Nicaragua,NIC,No Medal,5
1920,Netherlands,NLD,Bronze,5
1928,Netherlands,NLD,Bronze,5
1948,Netherlands,NLD,Gold,5
1984,Netherlands,NLD,Gold,5
1988,Netherlands,NLD,Gold,5
1998,Netherlands,NLD,Gold,5
1932,Netherlands,NLD,Silver,5
1964,Netherlands,NLD,Silver,5
1996,Netherlands,NLD,Silver,5
2002,Netherlands,NLD,Silver,5
2008,Netherlands,NLD,Silver,5
1912,Norway,NOR,Bronze,5
1936,Norway,NOR,Bronze,5
1994,Norway,NOR,Bronze,5
1998,Norway,NOR,Bronze,5
1948,Norway,NOR,Gold,5
2004,Norway,NOR,Gold,5
1952,Norway,NOR,Silver,5
2002,Norway,NOR,Silver,5
2008,Norway,NOR,Silver,5
2014,Norway,NOR,Silver,5
1964,Nepal,NPL,No Medal,5
2000,Nepal,NPL,No Medal,5
2012,Nepal,NPL,No Medal,5
1992,New Zealand,NZL,Bronze,5
2012,New Zealand,NZL,Bronze,5
2016,New Zealand,NZL,Bronze,5
1920,New Zealand,NZL,No Medal,5
1924,New Zealand,NZL,No Medal,5
1992,New Zealand,NZL,Silver,5
1992,Oman,OMN,No Medal,5
1996,Oman,OMN,No Medal,5
2000,Oman,OMN,No Medal,5
1968,Panama,PAN,No Medal,5
2004,Panama,PAN,No Medal,5
1956,Peru,PER,No Medal,5
2010,Peru,PER,No Medal,5
2014,Peru,PER,No Medal,5
1928,Philippines,PHL,No Medal,5
1932,Philippines,PHL,No Medal,5
2000,Palau,PLW,No Medal,5
2008,Palau,PLW,No Medal,5
2012,Palau,PLW,No Medal,5
2000,Papua New Guinea,PNG,No Medal,5
1936,Poland,POL,Bronze,5
1956,Poland,POL,Bronze,5
1996,Poland,POL,Bronze,5
2004,Poland,POL,Bronze,5
1968,Poland,POL,Gold,5
1972,Poland,POL,Silver,5
1988,Poland,POL,Silver,5
1996,Poland,POL,Silver,5
2000,Poland,POL,Silver,5
2006,North Korea,PRK,No Medal,5
2000,Paraguay,PRY,No Medal,5
2004,Paraguay,PRY,No Medal,5
1956,Romania,ROU,Bronze,5
1956,Romania,ROU,Gold,5
2004,Romania,ROU,Silver,5
2012,Romania,ROU,Silver,5
2002,Russia,RUS,Gold,5
2010,Russia,RUS,Silver,5
2000,Rwanda,RWA,No Medal,5
2004,Rwanda,RWA,No Medal,5
2012,Sudan,SDN,No Medal,5
1988,Solomon Islands,SLB,No Medal,5
1960,San Marino,SMR,No Medal,5
2004,San Marino,SMR,No Medal,5
2002,Serbia,SRB,No Medal,5
1984,Serbia,SRB,Silver,5
2000,Suriname,SUR,No Medal,5
2012,Suriname,SUR,No Medal,5
1960,Sweden,SWE,Bronze,5
1964,Sweden,SWE,Bronze,5
2002,Sweden,SWE,Bronze,5
2006,Sweden,SWE,Bronze,5
1924,Sweden,SWE,Gold,5
1964,Sweden,SWE,Gold,5
1968,Sweden,SWE,Gold,5
1972,Sweden,SWE,Gold,5
2010,Sweden,SWE,Gold,5
1896,Sweden,SWE,No Medal,5
1906,Sweden,SWE,Silver,5
1964,Sweden,SWE,Silver,5
2000,Sweden,SWE,Silver,5
2004,Syria,SYR,No Medal,5
1972,Togo,TGO,No Medal,5
1992,Togo,TGO,No Medal,5
2016,Togo,TGO,No Medal,5
1992,Tonga,TON,No Medal,5
2004,Tonga,TON,No Medal,5
1980,Trinidad,TTO,No Medal,5
1976,Tunisia,TUN,No Medal,5
2004,Turkey,TUR,Bronze,5
2002,Turkey,TUR,No Medal,5
1968,Tanzania,TZA,No Medal,5
1996,Tanzania,TZA,No Medal,5
2012,Tanzania,TZA,No Medal,5
2016,Tanzania,TZA,No Medal,5
1956,Uganda,UGA,No Medal,5
2004,Ukraine,UKR,Silver,5
2008,Ukraine,UKR,Silver,5
2012,Ukraine,UKR,Silver,5
2016,Ukraine,UKR,Silver,5
1906,USA,USA,Silver,5
1994,USA,USA,Silver,5
2002,Uzbekistan,UZB,No Medal,5
2010,Uzbekistan,UZB,No Medal,5
2014,Uzbekistan,UZB,No Medal,5
1992,Saint Vincent,VCT,No Medal,5
1996,"Virgin Islands, British",VGB,No Medal,5
1968,"Virgin Islands, US",VIR,No Medal,5
1960,Vietnam,VNM,No Medal,5
2012,Vanuatu,VUT,No Medal,5
1992,Samoa,WSM,No Medal,5
1996,Samoa,WSM,No Medal,5
2000,Samoa,WSM,No Medal,5
1968,Zambia,ZMB,No Medal,5
2016,Aruba,ABW,No Medal,6
2016,Albania,ALB,No Medal,6
2004,Andorra,AND,No Medal,6
2012,Andorra,AND,No Medal,6
1998,Argentina,ARG,No Medal,6
2008,Armenia,ARM,Bronze,6
2010,Armenia,ARM,No Medal,6
1988,American Samoa,ASM,No Medal,6
1996,American Samoa,ASM,No Medal,6
1960,Australia,AUS,Bronze,6
1952,Australia,AUS,Gold,6
1964,Australia,AUS,Gold,6
1906,Australia,AUS,No Medal,6
1948,Australia,AUS,Silver,6
1988,Australia,AUS,Silver,6
1956,Austria,AUT,Bronze,6
1968,Austria,AUT,Bronze,6
2010,Austria,AUT,Bronze,6
1936,Austria,AUT,Gold,6
1992,Austria,AUT,Gold,6
1968,Austria,AUT,Silver,6
2010,Austria,AUT,Silver,6
2012,Azerbaijan,AZE,Bronze,6
2012,Burundi,BDI,No Medal,6
1900,Belgium,BEL,Gold,6
1994,Belgium,BEL,No Medal,6
2006,Belgium,BEL,No Medal,6
1992,Benin,BEN,No Medal,6
2016,Benin,BEN,No Medal,6
2008,Burkina Faso,BFA,No Medal,6
1992,Bangladesh,BGD,No Medal,6
2000,Bangladesh,BGD,No Medal,6
1992,Bulgaria,BGR,Bronze,6
1972,Bulgaria,BGR,Gold,6
1976,Bulgaria,BGR,Gold,6
2000,Bulgaria,BGR,Silver,6
2004,Belarus,BLR,Bronze,6
1996,Belarus,BLR,Silver,6
1968,Belize,BLZ,No Medal,6
1952,Bermuda,BMU,No Medal,6
2000,Bermuda,BMU,No Medal,6
2008,Bermuda,BMU,No Medal,6
2000,Brazil,BRA,Bronze,6
2016,Brazil,BRA,Bronze,6
2002,Brazil,BRA,No Medal,6
2000,Brazil,BRA,Silver,6
2016,Brazil,BRA,Silver,6
2012,Barbados,BRB,No Medal,6
1984,Botswana,BWA,No Medal,6
1992,Botswana,BWA,No Medal,6
2012,Central African Republic,CAF,No Medal,6
2016,Central African Republic,CAF,No Medal,6
1998,Canada,CAN,Gold,6
1932,Canada,CAN,Silver,6
1976,Canada,CAN,Silver,6
1994,Canada,CAN,Silver,6
2004,Canada,CAN,Silver,6
2000,Swaziland,CHE,No Medal,6
1998,China,CHN,Silver,6
1948,Colombia,COL,No Medal,6
2012,Cuba,CUB,Bronze,6
1976,Cuba,CUB,Gold,6
1992,Cuba,CUB,Silver,6
2008,Cayman Islands,CYM,No Medal,6
1948,Czech Republic,CZE,Gold,6
1900,Czech Republic,CZE,No Medal,6
1964,Czech Republic,CZE,Silver,6
2006,Germany,DEU,Bronze,6
1912,Germany,DEU,Gold,6
1906,Germany,DEU,Silver,6
2014,Germany,DEU,Silver,6
1996,Dominica,DMA,No Medal,6
1896,Denmark,DNK,No Medal,6
1994,Denmark,DNK,No Medal,6
1912,Denmark,DNK,Silver,6
1924,Denmark,DNK,Silver,6
2016,Denmark,DNK,Silver,6
2008,Eritrea,ERI,No Medal,6
2016,Eritrea,ERI,No Medal,6
1996,Spain,ESP,Bronze,6
2004,Spain,ESP,Bronze,6
2016,Spain,ESP,Bronze,6
1900,Spain,ESP,No Medal,6
1996,Spain,ESP,Silver,6
1960,Finland,FIN,Bronze,6
1998,Finland,FIN,Bronze,6
1932,Finland,FIN,Gold,6
1956,Finland,FIN,Gold,6
1964,Finland,FIN,Gold,6
1976,Finland,FIN,Gold,6
1976,Finland,FIN,Silver,6
1980,Finland,FIN,Silver,6
